time,AQI,SO2,PM2.5,PM10,NO2,CO,O3_8h
2024/6/12,32,7,14,26,13,0.5,63
2024/6/13,24,7,16,24,15,0.6,44
2024/6/14,30,7,16,30,13,0.6,46
2024/6/15,31,7,7,13,13,0.6,61
2024/6/16,36,7,11,19,10,0.6,71
2024/6/17,28,7,9,21,10,0.5,55
2024/6/18,23,8,8,17,13,0.6,46
2024/6/19,28,8,10,20,13,0.6,56
2024/6/20,35,8,14,26,12,0.6,70
2024/6/21,32,7,12,22,9,0.6,63
2024/6/22,30,8,11,22,11,0.6,59
2024/6/23,34,8,11,21,11,0.6,68
2024/6/24,31,9,9,18,10,0.6,62
2024/6/25,23,8,9,20,14,0.6,45
2024/6/26,36,9,12,24,12,0.7,72
2024/6/27,31,9,11,23,12,0.6,62
2024/6/28,31,8,13,26,15,0.6,61
2024/6/29,27,8,12,25,15,0.5,53
2024/6/30,28,8,14,26,17,0.6,55
2024/7/1,32,8,16,30,16,0.6,63
2024/7/2,30,8,12,24,16,0.6,60
2024/7/3,27,8,11,21,11,0.5,54
2024/7/4,35,8,12,19,11,0.5,69
2024/7/5,32,8,13,24,13,0.5,63
2024/7/6,30,9,11,24,14,0.5,59
2024/7/7,40,9,15,28,13,0.6,79
2024/7/8,37,8,14,23,12,0.5,73
2024/7/9,40,8,16,25,12,0.5,79
2024/7/10,41,9,17,24,12,0.5,81
2024/7/11,40,8,17,29,14,0.6,79
2024/7/12,47,8,16,29,13,0.5,94
2024/7/13,35,8,12,23,13,0.5,70
2024/7/14,40,8,14,26,13,0.5,79
2024/7/15,38,9,16,25,13,0.5,75
2024/7/16,37,9,15,26,12,0.5,73
2024/7/17,42,8,13,21,13,0.5,83
2024/7/18,31,8,11,18,12,0.5,62
2024/7/19,40,10,13,24,14,0.6,79
2024/7/20,45,8,15,28,14,0.6,90
2024/7/21,36,8,14,23,12,0.6,71
2024/7/22,39,9,13,22,12,0.6,78
2024/7/23,40,10,13,24,12,0.6,79
2024/7/24,50,8,21,32,14,0.7,99
2024/7/25,62,7,23,39,16,0.7,114
2024/7/26,57,6,34,54,18,0.7,108
2024/7/27,33,6,20,29,14,0.6,65
2024/7/28,35,6,8,13,11,0.6,70
2024/7/29,21,7,7,14,10,0.5,41
2024/7/30,26,7,8,18,10,0.5,51
2024/7/31,27,8,9,17,10,0.5,54
2024/8/1,29,8,12,21,10,0.5,57
2024/8/2,33,7,12,24,12,0.6,65
2024/8/3,36,8,16,31,13,0.6,72
2024/8/4,39,7,17,33,14,0.6,77
2024/8/5,37,6,16,28,14,0.6,73
2024/8/6,42,7,16,29,13,0.6,84
2024/8/7,38,7,17,30,13,0.6,75
2024/8/8,37,8,18,31,14,0.6,74
2024/8/9,43,8,19,31,13,0.6,86
2024/8/10,39,7,20,32,13,0.6,77
2024/8/11,41,7,19,30,13,0.6,82
2024/8/12,33,7,9,20,12,0.5,66
2024/8/13,36,7,7,18,12,0.5,71
2024/8/14,29,7,9,21,13,0.6,58
2024/8/15,44,6,9,21,12,0.5,87
2024/8/16,29,6,7,14,14,0.5,58
2024/8/17,40,6,8,16,11,0.5,80
2024/8/18,34,6,9,19,11,0.6,67
2024/8/19,40,7,11,25,12,0.6,79
2024/8/20,35,7,15,29,14,0.6,69
2024/8/21,27,8,10,21,12,0.5,54
2024/8/22,26,8,9,20,12,0.5,52
2024/8/23,30,7,9,23,13,0.5,59
2024/8/24,37,6,12,27,12,0.5,74
2024/8/25,34,8,16,30,16,0.6,68
2024/8/26,42,7,15,28,12,0.6,83
2024/8/27,45,8,22,35,15,0.6,90
2024/8/28,44,7,20,34,14,0.7,88
2024/8/29,55,8,20,33,13,0.7,105
2024/8/30,65,7,18,33,14,0.7,117
2024/8/31,44,9,17,32,13,0.6,88
2024/9/1,40,8,16,34,15,0.5,79
2024/9/2,40,9,12,26,14,0.5,80
2024/9/3,50,8,13,25,12,0.5,100
2024/9/4,60,7,13,29,14,0.6,112
2024/9/5,54,6,21,39,16,0.7,104
2024/9/6,32,6,18,32,13,0.6,62
2024/9/7,27,6,9,18,10,0.5,54
2024/9/8,27,7,9,20,13,0.5,54
2024/9/9,35,9,13,23,13,0.5,69
2024/9/10,40,8,12,28,15,0.5,79
2024/9/11,41,8,15,30,15,0.5,81
2024/9/12,59,7,22,38,13,0.6,110
2024/9/13,58,7,27,41,12,0.6,109
2024/9/14,55,7,23,38,12,0.6,106
2024/9/15,42,7,26,37,13,0.7,83
2024/9/16,44,7,16,30,11,0.6,88
2024/9/17,35,6,20,31,8,0.6,70
2024/9/18,48,7,23,38,11,0.6,96
2024/9/19,51,6,26,41,15,0.6,101
2024/9/20,43,6,22,37,12,0.7,86
2024/9/21,32,6,16,27,11,0.6,63
2024/9/22,38,6,10,31,11,0.5,76
2024/9/23,55,6,20,37,11,0.6,105
2024/9/24,50,6,26,42,13,0.7,99
2024/9/25,36,5,24,35,14,0.8,72
2024/9/26,37,5,21,36,19,0.8,74
2024/9/27,37,6,21,37,19,0.7,74
2024/9/28,45,7,20,35,16,0.7,90
2024/9/29,56,7,27,43,19,0.7,107
2024/9/30,55,7,29,46,18,0.7,106
2024/10/1,46,6,20,46,10,0.6,71
2024/10/2,80,8,29,80,13,0.6,135
2024/10/3,88,9,31,65,20,0.6,145
2024/10/4,96,9,38,68,21,0.7,155
2024/10/5,88,7,30,49,16,0.6,145
2024/10/6,96,9,37,57,16,0.7,155
2024/10/7,98,8,47,68,15,0.7,157
2024/10/8,68,6,29,42,11,0.5,121
2024/10/9,58,7,28,40,13,0.6,109
2024/10/10,60,7,30,47,17,0.6,111
2024/10/11,95,7,39,59,23,0.6,154
2024/10/12,80,8,34,53,24,0.6,135
2024/10/13,80,9,41,61,26,0.6,136
2024/10/14,115,8,44,59,19,0.6,176
2024/10/15,47,7,11,19,11,0.6,93
2024/10/16,43,7,23,40,11,0.7,86
2024/10/17,51,8,27,41,18,0.7,101
2024/10/18,45,9,28,45,21,0.5,72
2024/10/19,36,6,14,31,12,0.5,72
2024/10/20,34,6,9,22,10,0.6,67
2024/10/21,35,7,18,32,12,0.7,70
2024/10/22,33,7,17,33,13,0.6,58
2024/10/23,43,6,14,31,13,0.5,86
2024/10/24,65,6,21,40,15,0.5,118
2024/10/25,68,6,26,46,18,0.5,121
2024/10/26,70,6,34,56,15,0.6,123
2024/10/27,41,5,16,26,10,0.6,82
2024/10/28,42,5,16,27,10,0.5,84
2024/10/29,48,6,30,48,14,0.6,68
2024/10/30,53,7,35,51,14,0.6,103
2024/10/31,79,7,33,55,18,0.7,134
2024/11/1,71,7,29,47,14,0.6,125
2024/11/2,80,7,49,70,14,0.7,135
2024/11/3,74,7,54,73,17,0.8,121
2024/11/4,73,6,53,67,17,0.9,90
2024/11/5,86,7,49,70,19,0.8,143
2024/11/6,88,8,54,74,19,0.8,145
2024/11/7,80,8,29,80,13,0.6,135
2024/11/8,88,9,31,65,20,0.6,145
2024/11/9,96,9,38,68,21,0.7,155
2024/11/10,83,10,41,56,17,0.6,139
2024/11/11,80,9,47,64,18,0.7,136
2024/11/12,72,8,44,62,21,0.7,126
2024/11/13,65,8,44,67,28,0.7,117
2024/11/14,60,7,43,66,26,0.7,67
2024/11/15,43,7,26,43,18,0.6,63
2024/11/16,43,6,27,37,13,0.7,85
2024/11/17,41,6,25,37,13,0.7,81
2024/11/18,30,6,11,23,11,0.6,59
2024/11/19,27,6,9,21,11,0.5,53
2024/11/20,25,5,12,20,13,0.5,49
2024/11/21,28,5,17,27,12,0.5,56
2024/11/22,32,5,19,32,14,0.6,45
2024/11/23,40,5,26,40,14,0.7,44
2024/11/24,52,6,30,54,20,0.8,68
2024/11/25,50,6,29,50,16,0.7,84
2024/11/26,41,5,12,29,11,0.5,81
2024/11/27,43,6,17,39,13,0.5,86
2024/11/28,51,6,22,52,22,0.5,86
2024/11/29,53,7,28,55,28,0.5,100
2024/11/30,59,9,40,68,37,0.6,88
2024/12/1,78,8,57,87,37,0.8,104
2024/12/2,65,8,47,73,38,0.7,108
2024/12/3,60,9,43,68,37,0.7,112
2024/12/4,73,8,51,78,31,0.8,127
2024/12/5,119,7,90,116,19,0.9,88
2024/12/6,53,5,37,50,17,0.8,32
2024/12/7,24,5,12,23,15,0.7,47
2024/12/8,42,5,28,42,14,0.6,79
2024/12/9,79,8,58,80,23,0.7,69
2024/12/10,108,7,81,105,25,1,42
2024/12/11,34,5,21,34,19,0.8,32
2024/12/12,62,6,44,58,17,0.6,56
2024/12/13,49,5,34,49,19,0.7,57
2024/12/14,75,7,55,80,22,0.7,82
2024/12/15,52,6,27,53,20,0.5,89
2024/12/16,53,7,32,56,23,0.6,94
2024/12/17,62,7,44,72,34,0.7,72
2024/12/18,59,9,41,67,25,0.7,101
2024/12/19,70,8,51,73,21,0.7,115
2024/12/20,92,9,68,92,30,0.8,109
2024/12/21,95,9,71,91,25,0.8,114
2024/12/22,107,10,80,101,22,0.8,114
2024/12/23,108,11,81,108,22,0.9,97
2024/12/24,103,11,77,100,25,0.9,104
2024/12/25,113,10,85,111,25,0.9,101
2024/12/26,122,10,92,113,26,1,85
2024/12/27,112,10,84,105,22,0.8,84
2024/12/28,108,9,81,105,23,0.8,113
2024/12/29,88,8,65,91,35,0.8,109
2024/12/30,117,9,88,123,46,1,68
2024/12/31,113,7,85,109,33,1,114
2025/1/1,93,8,69,98,38,1,113
2025/1/2,99,8,74,99,31,1,129
2025/1/3,98,9,73,100,25,0.9,142
2025/1/4,119,9,90,122,37,1,135
2025/1/5,130,9,99,129,31,1,144
2025/1/6,113,8,85,111,31,1,127
2025/1/7,93,8,69,95,29,0.9,125
2025/1/8,94,9,70,106,21,0.9,113
2025/1/9,83,9,61,94,20,0.8,62
2025/1/10,52,7,36,54,15,0.6,92
2025/1/11,60,8,43,67,20,0.6,100
2025/1/12,65,9,47,73,32,0.7,102
2025/1/13,65,8,47,78,35,0.8,94
2025/1/14,67,8,48,81,43,0.8,101
2025/1/15,79,8,58,94,22,0.8,109
2025/1/16,77,8,56,93,20,0.8,113
2025/1/17,65,8,46,79,30,0.8,112
2025/1/18,69,8,50,76,32,0.8,112
2025/1/19,79,8,58,89,36,0.9,115
2025/1/20,88,8,65,97,38,1,117
2025/1/21,83,8,61,85,32,1,127
2025/1/22,104,8,51,75,28,0.9,164
2025/1/23,78,7,57,83,30,0.9,100
2025/1/24,58,6,41,57,16,0.8,77
2025/1/25,98,5,73,83,15,1.1,48
2025/1/26,39,5,12,22,10,0.8,77
2025/1/27,45,5,21,45,8,0.6,89
2025/1/28,57,7,36,63,8,0.6,90
2025/1/29,239,25,189,210,17,0.8,82
2025/1/30,85,10,63,75,11,0.6,83
2025/1/31,48,7,33,43,9,0.6,79
2025/2/1,23,5,15,22,8,0.9,31
2025/2/2,25,5,9,14,8,1,19
2025/2/3,25,5,10,14,6,0.9,49
2025/2/4,45,5,31,37,9,0.8,76
2025/2/5,69,6,50,59,15,0.9,43
2025/2/6,53,6,37,45,9,0.9,46
2025/2/7,29,5,18,26,9,0.7,58
2025/2/8,64,5,31,78,8,0.6,76
2025/2/9,46,7,24,46,9,0.6,87
2025/2/10,62,8,44,67,21,0.8,68
2025/2/11,94,7,70,83,26,0.9,89
2025/2/12,70,6,51,68,18,0.9,67
2025/2/13,90,6,67,81,12,0.9,85
2025/2/14,98,8,73,91,20,1,92
2025/2/15,98,7,73,81,16,1,55
2025/2/16,38,6,26,35,10,0.7,61
2025/2/17,29,6,19,29,11,0.7,49
2025/2/18,26,6,16,26,11,0.7,49
2025/2/19,35,7,24,33,13,0.8,37
2025/2/20,24,7,13,24,11,0.8,33
2025/2/21,22,6,14,22,12,0.8,38
2025/2/22,22,6,14,22,12,0.8,30
2025/2/23,26,6,10,18,10,0.7,52
2025/2/24,57,7,40,48,11,0.8,85
2025/2/25,102,8,76,88,18,0.9,61
2025/2/26,104,8,78,85,21,1,45
2025/2/27,83,6,61,74,32,1.2,46
2025/2/28,57,7,40,57,22,0.8,90
2025/3/1,41,7,25,38,16,0.6,82
2025/3/2,43,7,25,40,18,0.6,85
2025/3/3,51,8,33,52,19,0.7,66
2025/3/4,23,6,10,23,10,0.7,36
2025/3/5,20,6,11,20,10,0.8,36
2025/3/6,29,6,9,21,10,0.7,57
2025/3/7,29,6,20,28,12,0.8,54
2025/3/8,50,6,35,43,12,0.7,63
2025/3/9,40,6,28,39,16,0.8,47
2025/3/10,52,6,33,54,29,1.1,31
2025/3/11,75,8,55,94,42,1.3,66
2025/3/12,59,7,42,64,32,0.9,64
2025/3/13,37,7,25,37,16,0.9,38
2025/3/14,31,6,18,31,14,0.9,42
2025/3/15,25,6,4,16,11,0.6,50
2025/3/16,47,6,21,35,11,0.3,93
2025/3/17,50,6,31,50,13,0.4,94
2025/3/18,56,7,23,36,12,0.4,107
2025/3/19,80,7,33,50,23,0.6,135
2025/3/20,81,8,33,50,29,0.6,137
2025/3/21,85,10,36,55,32,0.6,142
2025/3/22,124,15,47,69,35,0.7,186
2025/3/23,127,17,55,76,32,0.8,189
2025/3/24,126,15,64,88,32,0.9,188
2025/3/25,114,20,64,86,29,0.9,175
2025/3/26,90,14,53,76,27,0.9,147
2025/3/27,53,11,33,55,17,0.7,98
2025/3/28,65,8,35,80,18,0.5,71
2025/3/29,23,6,9,18,12,0.4,45
2025/3/30,21,6,8,17,11,0.4,42
2025/3/31,25,6,14,25,13,0.5,48
2025/4/1,49,6,27,45,14,0.6,97
2025/4/2,63,7,32,55,25,0.6,115
2025/4/3,78,8,40,72,28,0.6,133
2025/4/4,93,14,69,104,25,0.7,124
2025/4/5,113,10,85,114,25,0.8,113
2025/4/6,80,8,59,89,23,0.8,115
2025/4/7,78,9,57,83,26,0.8,116
2025/4/8,68,9,49,79,32,0.8,117
2025/4/9,77,8,56,83,34,0.9,89
2025/4/10,72,7,52,74,26,0.9,122
2025/4/11,54,7,38,57,26,0.8,63
2025/4/12,110,8,56,169,16,0.5,77
2025/4/13,240,6,111,378,16,0.4,89
2025/4/14,139,10,80,228,27,0.6,117
2025/4/15,87,11,53,123,31,0.5,133
